state,district,tehsil,village,lgd_code,khasra_no,guid
Andhra Pradesh,Krishna,Avanigadda,Modumudi,589775,244,fac33ba1-b4fe-4b2e-a486-52a631654417
Andhra Pradesh,Krishna,Avanigadda,Puligadda,589771,10,ba9f2958-0321-4b46-9e32-aeba8fce945f
Andhra Pradesh,Krishna,Avanigadda,Modumudi,589775,670,f79a3c6d-682f-4485-9183-b5b15c29b537
Andhra Pradesh,Krishna,Avanigadda,Avanigadda,589773,67,2357b0cd-0b6b-4790-bfb5-8c4be2fbed4a
Andhra Pradesh,Krishna,Avanigadda,Avanigadda,589773,19,f4933c1d-61e7-4766-a4b1-505264d93e03
Andhra Pradesh,Krishna,Avanigadda,Avanigadda,589773,135,d3160098-5d57-47ff-891b-ef5068879c70
Andhra Pradesh,Krishna,Avanigadda,Modumudi,589775,117,bd1dece2-9036-4fcd-9399-26f18d86b619
Andhra Pradesh,Krishna,Avanigadda,Avanigadda,589773,380,967e9fe5-509b-44ad-aed1-52847fdb5ef8
Andhra Pradesh,Krishna,Avanigadda,Vekanuru,589777,220,1fd24268-a632-4329-9516-50d889d06367
Andhra Pradesh,Krishna,Avanigadda,Vekanuru,589777,280,7a7131b0-c25a-4bd2-a438-65c6ca06853c
Andhra Pradesh,Krishna,Avanigadda,Puligadda,589771,90,cd68e8d8-d5bc-47a9-9d5f-f51475290dc9
Andhra Pradesh,Krishna,Avanigadda,Avanigadda,589773,329,3abe4299-f35b-4a02-94ef-76df1b37bf59
Andhra Pradesh,Krishna,Avanigadda,Modumudi,589775,294,933c706f-67a6-4533-ab69-c736195ed786
Andhra Pradesh,Krishna,Avanigadda,Vekanuru,589777,418,19301e89-483c-4fc3-9c01-ad7e72a579d5
Andhra Pradesh,Krishna,Avanigadda,Modumudi,589775,781,f7bb6361-2ece-49c4-a5d5-cb590df450df
Andhra Pradesh,Krishna,Avanigadda,Modumudi,589775,374,141e0efc-393a-4518-b6be-bfeccf74be5d
Andhra Pradesh,Krishna,Avanigadda,Avanigadda,589773,313,06781f07-a153-4ab5-b879-7227a4a1a34d
Andhra Pradesh,Krishna,Avanigadda,Modumudi,589775,343,6e7cf6b1-5f11-4763-8504-ffca02287010
Andhra Pradesh,Krishna,Avanigadda,Vekanuru,589777,789,55abc024-c7bd-4f5c-845e-b15d78025f5b
Andhra Pradesh,Krishna,Avanigadda,Chiruvolu Lanka  (South),589763,15,3ca33167-5dc4-40c9-b0bf-3498d4a51583
Andhra Pradesh,Krishna,Avanigadda,Vekanuru,589777,410,eb27b04f-6d28-483c-b64d-f78e0e8cb061
Andhra Pradesh,Krishna,Avanigadda,Avanigadda,589773,33,5004ae7b-975d-4008-af9a-4b465d6caa4f
Andhra Pradesh,Krishna,Avanigadda,Edlanka,589772,101,9d0086ab-1993-4e2b-9d4e-0b3b1ba6e721
Andhra Pradesh,Krishna,Avanigadda,Avanigadda,589773,611,2df10c25-9667-4f29-a19e-6e616bb9731a
Andhra Pradesh,Krishna,Avanigadda,Puligadda,589771,123,6f63b7bc-01ca-496e-b8bc-bad17f0d0d45
Andhra Pradesh,Krishna,Avanigadda,Modumudi,589775,607,ddb4806b-b533-44db-85f6-a5ef885aa64b
Andhra Pradesh,Krishna,Avanigadda,Puligadda,589771,95,17d4257c-b521-48fb-acc5-f9738575bb3f
Andhra Pradesh,Krishna,Avanigadda,Modumudi,589775,197,7f47bced-cf7d-4677-942b-a7f1a03d8fee
Andhra Pradesh,Krishna,Avanigadda,Vekanuru,589777,337,b56ae9a1-25ca-4f8c-91b8-74a989e06fab
Andhra Pradesh,Krishna,Avanigadda,Avanigadda,589773,342,8feb6f7f-6292-4226-94eb-1ec1ea3993e6
Andhra Pradesh,Krishna,Avanigadda,Vekanuru,589777,72,48111b74-f46d-49f9-b4c3-6deb022c69d8
Andhra Pradesh,Krishna,Avanigadda,Modumudi,589775,312,9108ef48-a0f2-4a50-ab7e-c2e7331833e8
Andhra Pradesh,Krishna,Avanigadda,Vekanuru,589777,12,a79708cd-bc15-4eeb-911c-59efb5165a3f
Andhra Pradesh,Krishna,Avanigadda,Vekanuru,589777,818,d11746ef-2af0-416e-9878-ab623607f013
Andhra Pradesh,Krishna,Avanigadda,Modumudi,589775,656,c32d66e9-7947-494f-b545-79009b9fbf71
Andhra Pradesh,Krishna,Avanigadda,Avanigadda,589773,28,92e55092-705c-4bda-823f-6424feb55608
Andhra Pradesh,Krishna,Avanigadda,Chiruvolu Lanka  (South),589763,352,f73fbe43-d132-462c-a70c-55a78874b698
Andhra Pradesh,Krishna,Avanigadda,Puligadda,589771,116,1f84c00f-43b1-4e97-9c4f-ba1b9fd5ed1c
Andhra Pradesh,Krishna,Avanigadda,Modumudi,589775,714,eccea01a-a240-4726-98b5-9b47d94fd1b8
