TASK ID              | TRUTH      | AI         | SCORE    | CONF     | CERT_TIER    | STATUS
------------------------------------------------------------------------------------------
UP1 (Crop)           | Active     | Active     | 81.22%   | 94.58%   | Very High    | ✅ MATCH
UP2 (Crop)           | Active     | Active     | 70.72%   | 93.11%   | Very High    | ✅ MATCH
UP3 (Crop)           | Active     | Active     | 58.84%   | 92.39%   | Very High    | ✅ MATCH
UP4 (Crop)           | Active     | Active     | 91.71%   | 87.17%   | Very High    | ✅ MATCH
UP5 (No-Crop)        | Inactive   | Inactive   | 11.6%    | 23.88%   | Very Low     | ✅ MATCH
UP6 (Crop)           | Active     | Active     | 60.5%    | 61.62%   | Moderate     | ✅ MATCH
UP7 (No-Crop)        | Inactive   | Inactive   | 5.25%    | 39.17%   | Low          | ✅ MATCH
UP8 (Crop)           | Active     | Active     | 75.69%   | 83.07%   | Very High    | ✅ MATCH
UP9 (Crop)           | Active     | Active     | 85.28%   | 83.19%   | Very High    | ✅ MATCH
UP10 (Crop)          | Active     | Active     | 58.33%   | 70.97%   | High         | ✅ MATCH
RJ01 (Crop)          | Active     | Active     | 43.21%   | 82.44%   | Very High    | ✅ MATCH
RJ02 (Crop)          | Active     | Active     | 18.28%   | 43.47%   | Low          | ✅ MATCH
RJ03 (Crop)          | Active     | Active     | 19.11%   | 67.3%    | High         | ✅ MATCH
RJ04 (Crop)          | Active     | Active     | 88.43%   | 92.31%   | Very High    | ✅ MATCH
RJ05 (Crop)          | Active     | Active     | 56.23%   | 91.69%   | Very High    | ✅ MATCH
RJ06 (Crop)          | Active     | Active     | 55.4%    | 88.58%   | Very High    | ✅ MATCH
RJ07 (Crop)          | Active     | Active     | 96.4%    | 90.13%   | Very High    | ✅ MATCH
RJ08 (Crop)          | Active     | Active     | 24.73%   | 81.97%   | Very High    | ✅ MATCH
RJ09 (No-Crop)       | Inactive   | Inactive   | 0.0%     | 99.96%   | Very High    | ✅ MATCH
RJ10 (Crop)          | Active     | Inactive   | 86.7%    | 16.52%   | Very Low     | ❌ MISMATCH
MP01 (Crop)          | Active     | Active     | 93.77%   | 93.57%   | Very High    | ✅ MATCH
MP02 (No-Crop)       | Inactive   | Inactive   | 0.0%     | 87.44%   | Very High    | ✅ MATCH
MP03 (Crop)          | Active     | Active     | 93.2%    | 91.79%   | Very High    | ✅ MATCH
MP04 (Crop)          | Active     | Active     | 90.93%   | 95.68%   | Very High    | ✅ MATCH
MP05 (Crop)          | Active     | Active     | 97.17%   | 90.43%   | Very High    | ✅ MATCH
MP06 (No-Crop)       | Inactive   | Inactive   | 3.12%    | 76.49%   | High         | ✅ MATCH
MP07 (Crop)          | Active     | Active     | 95.43%   | 90.09%   | Very High    | ✅ MATCH
MP08 (No-Crop)       | Inactive   | Inactive   | 0.0%     | 55.18%   | Moderate     | ✅ MATCH
MP09 (Crop)          | Active     | Active     | 93.87%   | 86.87%   | Very High    | ✅ MATCH
MP10 (No-Crop)       | Inactive   | Inactive   | 0.0%     | 60.13%   | Moderate     | ✅ MATCH
GJ01 (Crop)          | Active     | Active     | 94.94%   | 90.88%   | Very High    | ✅ MATCH
GJ02 (Crop)          | Active     | Active     | 76.45%   | 92.65%   | Very High    | ✅ MATCH
GJ03 (No-Crop)       | Inactive   | Active     | 91.97%   | 84.15%   | Very High    | ❌ MISMATCH
GJ04 (Crop)          | Active     | Active     | 67.04%   | 88.22%   | Very High    | ✅ MATCH
GJ05 (Crop)          | Active     | Active     | 67.04%   | 90.89%   | Very High    | ✅ MATCH
GJ06 (No-Crop)       | Inactive   | Active     | 77.01%   | 83.49%   | Very High    | ❌ MISMATCH
GJ07 (Crop)          | Active     | Active     | 97.78%   | 96.29%   | Very High    | ✅ MATCH
GJ08 (Crop)          | Active     | Active     | 77.2%    | 94.27%   | Very High    | ✅ MATCH
