state,district,tehsil,village,lgd_code,khasra_no,guid
Telangana,Adilabad,Adilabad Rural,Nishaghat,568986,15,2b29cbda-1df2-441d-a33a-d8de7bffe548
Telangana,Adilabad,Adilabad Rural,Chinchughat,569004,21,e2b0b388-3ce3-4454-8e1c-e38f609487f1
Telangana,Adilabad,Adilabad Rural,Yapalguda,568992,73/91,4adb9a34-92c0-46dc-9bee-da8a74155c84
Telangana,Adilabad,Adilabad Rural,Wanwat,569008,18,f0562117-cd90-4d05-bfc4-8e29713f1812
Telangana,Adilabad,Adilabad Rural,Arli (Buzurg),568987,40/3,7def7ae2-2681-4347-8262-4e2fe30541cb
Telangana,Adilabad,Adilabad Rural,Belluri,569009,45,1f0ed3f9-507c-41d1-af6b-9fd2c006ea77
Telangana,Adilabad,Adilabad Rural,Burnoor,568999,15,76972847-82b6-453f-b969-11acfd9ba939
Telangana,Adilabad,Adilabad Rural,Ankoli,569001,153,63fa552b-419e-4c3e-84b7-b95322aa6c96
Telangana,Adilabad,Adilabad Rural,Tantoli,568997,86/2,ae5be85b-469f-4949-8b65-4b58b2032d29
Telangana,Adilabad,Adilabad Rural,Yapalguda,568992,73/60,a61bcf47-1495-442a-ad4a-aca047bc7db2
Telangana,Adilabad,Adilabad Rural,Nishaghat,568986,33,2b3b1382-9e7c-483e-875e-9e1a27f45c9c
Telangana,Adilabad,Adilabad Rural,Wanwat,569008,25,4ba9978d-45b5-458a-b568-acd8cf706579
Telangana,Adilabad,Adilabad Rural,Tantoli,568997,101,92dde1f8-a8eb-44a9-ab70-7700e24a22c6
Telangana,Adilabad,Adilabad Rural,Burnoor,568999,14/9,dc34b231-6a01-4838-884e-6ea50ae9e66c
Telangana,Adilabad,Adilabad Rural,Landasangvi,568985,36/2,fc151ae3-dc37-45c3-9585-cd7128bada7c
Telangana,Adilabad,Adilabad Rural,Chichdhari,569016,16,3a68530d-7329-4983-b362-7d6312082946
Telangana,Adilabad,Adilabad Rural,Yapalguda,568992,73/95,9fc3ccd3-4c20-4e94-a55f-2e4bd3e292c4
Telangana,Adilabad,Adilabad Rural,Chinchughat,569004,53,e0e720cb-6b12-42b1-9ca8-ad16935f17ca
Telangana,Adilabad,Adilabad Rural,Jamdapur,568976,2,62594068-4838-4499-b2fd-34d8f15c0e42
Telangana,Adilabad,Adilabad Rural,Chanda -T,568983,59,55974fef-6687-4d0b-9470-d3b3be952406
Telangana,Adilabad,Adilabad Rural,Pippaldhari,569007,7,bd272abb-7898-4673-ae2d-0ee050bbbc06
Telangana,Adilabad,Adilabad Rural,Burnoor,568999,13/52,19100f12-ce53-4520-8089-564e781e50d3
Telangana,Adilabad,Adilabad Rural,Ankoli,569001,92/17,53dc3eec-56f2-4b26-8a1b-651134a16302
Telangana,Adilabad,Adilabad Rural,Bheemseri,568982,67,0db7cc56-ace2-4024-8561-d129d2d0e685
Telangana,Adilabad,Adilabad Rural,Ganeshpur,568984,8,744926fb-3b31-4d10-90e9-cc6038e17333
Telangana,Adilabad,Adilabad Rural,Chichdhari,569016,36,1f40a0f1-3d5c-465c-bae5-345ddf057e69
Telangana,Adilabad,Adilabad Rural,Anukunta,568993,83,ed292554-04b1-4892-aa39-8d02a108dcf7
Telangana,Adilabad,Adilabad Rural,Ankoli,569001,53,1b18aed2-79a9-4381-8dd4-41ad1a6c84d4
Telangana,Adilabad,Adilabad Rural,Yapalguda,568992,116,6e13663f-8d33-470e-83b6-4555c7b32629
Telangana,Adilabad,Adilabad Rural,Anukunta,568993,53,ec1ec78f-7480-4265-a7e9-50cf565e8312
Telangana,Adilabad,Adilabad Rural,Belluri,569009,18,6c1895d0-deff-4628-9c29-fbf3b99dc49a
Telangana,Adilabad,Adilabad Rural,Dimma,568978,32,b3a9ee29-54fd-4c83-99aa-91e91a446f63
Telangana,Adilabad,Adilabad Rural,Yapalguda,568992,40,92a30108-6716-42b9-99de-d1c304901282
Telangana,Adilabad,Adilabad Rural,Yapalguda,568992,29,f1acdeb9-bd27-4858-a31a-ff300a8cc514
Telangana,Adilabad,Adilabad Rural,Arli (Buzurg),568987,71,9a3439d8-d296-4c6d-94b6-b1a2864ff00f
Telangana,Adilabad,Adilabad Rural,Lokari,569000,6/1,5aae7cf7-68e5-4636-a8b2-aa2ca9c3c51f
Telangana,Adilabad,Adilabad Rural,Burnoor,568999,13/55,b9dbccb2-f4b5-4f04-8163-41ba3a40f823
Telangana,Adilabad,Adilabad Rural,Wanwat,569008,7,05ec152f-3dc7-4550-88b1-7197a9cd7036
Telangana,Adilabad,Adilabad Rural,Kachkanti,568996,43,5e524bdd-9a25-4f12-af5c-ab7394b41640
Telangana,Adilabad,Adilabad Rural,Yapalguda,568992,73/101,161a9fb8-57dd-4748-96c5-61a988be5d58
Telangana,Adilabad,Adilabad Rural,Tantoli,568997,106,1747811f-4049-42a7-9c9e-adedf023d5a1
Telangana,Adilabad,Adilabad Rural,Jamdapur,568976,106,b5765494-6826-4cc7-b51b-e8056833678b
Telangana,Adilabad,Adilabad Rural,Yapalguda,568992,150,5355d6da-d922-4d0c-b613-5304498a3cd8
Telangana,Adilabad,Adilabad Rural,Chanda -T,568983,40,59661e25-b276-493c-abc9-e37f398a0196
Telangana,Adilabad,Adilabad Rural,Yapalguda,568992,73/42,0b90c23a-4c46-4177-bd49-9ea65be53d42
Telangana,Adilabad,Adilabad Rural,Chanda -T,568983,16/2,b4b8e5a2-9d8b-44b5-9977-6bdfb985ed43
